date,tourist,pc_Siguniang,mob_Siguniang,pc_SichuanEpidemic,mob_SichuanEpidemic,time_idx,weekday,year,month,day,destination,Trend,Seasonal,Resid
2020-07-18,709,242,917,125,757,109,Friday,2020,7,18,SiGuniang,486.5981526,1217.492192,2504.909655
2020-07-19,855,240,942,99,632,110,Saturday,2020,7,19,SiGuniang,499.5470248,1274.358852,2581.094123
2020-07-20,400,425,925,247,967,111,Sunday,2020,7,20,SiGuniang,512.2582598,960.7988452,2426.942895
2020-07-21,476,433,939,186,884,112,Monday,2020,7,21,SiGuniang,523.6662582,961.5601741,2490.773568
2020-07-22,347,423,945,155,777,113,Tuesday,2020,7,22,SiGuniang,537.3477036,846.2986313,2463.353665
2020-07-23,414,459,904,165,736,114,Wednesday,2020,7,23,SiGuniang,558.4832043,871.5645919,2483.952204
2020-07-24,491,378,906,152,651,115,Thursday,2020,7,24,SiGuniang,587.7561591,894.3586599,2508.885181
2020-07-25,738,218,917,97,676,116,Friday,2020,7,25,SiGuniang,617.8977408,1182.656575,2437.445685
2020-07-26,965,335,1412,106,628,117,Saturday,2020,7,26,SiGuniang,640.2457382,1277.632263,2547.121999
2020-07-27,670,578,1110,234,946,118,Sunday,2020,7,27,SiGuniang,658.7766769,963.1419111,2548.081412
2020-07-28,779,552,969,205,891,119,Monday,2020,7,28,SiGuniang,688.2082934,964.5718021,2626.219904
2020-07-29,378,492,958,177,851,120,Tuesday,2020,7,29,SiGuniang,730.8673837,849.4067322,2297.725884
2020-07-30,515,487,963,209,857,121,Wednesday,2020,7,30,SiGuniang,781.0878067,872.9522287,2360.959965
2020-07-31,578,380,954,200,851,122,Thursday,2020,7,31,SiGuniang,848.3488197,915.4248916,2314.226289
2020-08-01,1048,247,987,116,716,123,Friday,2020,8,1,SiGuniang,933.5482681,1146.794928,2467.656804
2020-08-02,1356,236,1095,207,1165,124,Saturday,2020,8,2,SiGuniang,1030.104253,1282.62222,2543.273527
2020-08-03,1557,557,1119,208,900,125,Sunday,2020,8,3,SiGuniang,1135.38351,965.1560746,2956.460415
2020-08-04,1302,613,1169,218,889,126,Monday,2020,8,4,SiGuniang,1238.214117,963.210504,2600.575379
2020-08-05,1320,563,1150,191,877,127,Tuesday,2020,8,5,SiGuniang,1331.825906,856.7150946,2631.459
2020-08-06,1245,554,1222,166,790,128,Wednesday,2020,8,6,SiGuniang,1390.717982,876.8307353,2477.451283
2020-08-07,1370,544,1386,219,859,129,Thursday,2020,8,7,SiGuniang,1365.755413,926.0535289,2578.191058
2020-08-08,1612,290,1305,114,762,130,Friday,2020,8,8,SiGuniang,1303.980737,1123.152165,2684.867098
2020-08-09,2241,310,1283,93,708,131,Saturday,2020,8,9,SiGuniang,1244.84323,1282.486498,3213.670272
2020-08-10,1769,568,1303,247,940,132,Sunday,2020,8,10,SiGuniang,1185.148505,962.6476967,3121.203798
2020-08-11,1044,498,1076,163,757,133,Monday,2020,8,11,SiGuniang,1114.10131,954.0336459,2475.865045
2020-08-12,787,493,987,139,776,134,Tuesday,2020,8,12,SiGuniang,1021.225445,863.1924611,2402.582094
2020-08-13,909,930,2375,162,818,135,Wednesday,2020,8,13,SiGuniang,911.1056149,876.7493235,2621.145062
2020-08-14,849,571,1235,154,853,136,Thursday,2020,8,14,SiGuniang,794.6940128,923.2934994,2631.012488
2020-08-15,1629,242,1065,151,882,137,Friday,2020,8,15,SiGuniang,680.198778,1133.819714,3314.981508
